Add:         0210083 Bypass Coronary Artery, One Artery from Coronary Artery with Zooplastic Tissue, Open Approach
Add:         0210088 Bypass Coronary Artery, One Artery from Right Internal Mammary with Zooplastic Tissue, Open Approach
Add:         0210089 Bypass Coronary Artery, One Artery from Left Internal Mammary with Zooplastic Tissue, Open Approach
Add:         021008C Bypass Coronary Artery, One Artery from Thoracic Artery with Zooplastic Tissue, Open Approach
Add:         021008F Bypass Coronary Artery, One Artery from Abdominal Artery with Zooplastic Tissue, Open Approach
Add:         021008W Bypass Coronary Artery, One Artery from Aorta with Zooplastic Tissue, Open Approach
Revise from: 0210093 Bypass Coronary Artery, One Site from Coronary Artery with Autologous Venous Tissue, Open Approach
Revise to:   0210093 Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Venous Tissue, Open Approach
Revise from: 0210098 Bypass Coronary Artery, One Site from Right Internal Mammary with Autologous Venous Tissue, Open Approach
Revise to:   0210098 Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Venous Tissue, Open Approach
Revise from: 0210099 Bypass Coronary Artery, One Site from Left Internal Mammary with Autologous Venous Tissue, Open Approach
Revise to:   0210099 Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Venous Tissue, Open Approach
Revise from: 021009C Bypass Coronary Artery, One Site from Thoracic Artery with Autologous Venous Tissue, Open Approach
Revise to:   021009C Bypass Coronary Artery, One Artery from Thoracic Artery with Autologous Venous Tissue, Open Approach
Revise from: 021009F Bypass Coronary Artery, One Site from Abdominal Artery with Autologous Venous Tissue, Open Approach
Revise to:   021009F Bypass Coronary Artery, One Artery from Abdominal Artery with Autologous Venous Tissue, Open Approach
Revise from: 021009W Bypass Coronary Artery, One Site from Aorta with Autologous Venous Tissue, Open Approach
Revise to:   021009W Bypass Coronary Artery, One Artery from Aorta with Autologous Venous Tissue, Open Approach
Revise from: 02100A3 Bypass Coronary Artery, One Site from Coronary Artery with Autologous Arterial Tissue, Open Approach
Revise to:   02100A3 Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Arterial Tissue, Open Approach
Revise from: 02100A8 Bypass Coronary Artery, One Site from Right Internal Mammary with Autologous Arterial Tissue, Open Approach
Revise to:   02100A8 Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Arterial Tissue, Open Approach
Revise from: 02100A9 Bypass Coronary Artery, One Site from Left Internal Mammary with Autologous Arterial Tissue, Open Approach
Revise to:   02100A9 Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Arterial Tissue, Open Approach
Revise from: 02100AC Bypass Coronary Artery, One Site from Thoracic Artery with Autologous Arterial Tissue, Open Approach
Revise to:   02100AC Bypass Coronary Artery, One Artery from Thoracic Artery with Autologous Arterial Tissue, Open Approach
Revise from: 02100AF Bypass Coronary Artery, One Site from Abdominal Artery with Autologous Arterial Tissue, Open Approach
Revise to:   02100AF Bypass Coronary Artery, One Artery from Abdominal Artery with Autologous Arterial Tissue, Open Approach
Revise from: 02100AW Bypass Coronary Artery, One Site from Aorta with Autologous Arterial Tissue, Open Approach
Revise to:   02100AW Bypass Coronary Artery, One Artery from Aorta with Autologous Arterial Tissue, Open Approach
Revise from: 02100J3 Bypass Coronary Artery, One Site from Coronary Artery with Synthetic Substitute, Open Approach
